timestamp,task_id,family,outcome,cost_usd,duration_s,llm_calls,opus_calls,sonnet_calls,haiku_calls,deterministic_phases,escalations,learned_skills,promotions,refusals,demotions,dispatch_fallbacks,trace,provider,other_calls,learned_event_skills,compile_errors
2026-08-16T18:08:47.892Z,fanin-logsum,fanin,delivered,0.4335,314,15,1,1,13,0,0,2,0,0,0,0,2026-08-16T18-08-48-430-1b7e937f.json,claude-cli,0,0,0
2026-08-16T18:14:55.351Z,fanin-orth-catalog,fanin-orth,delivered,0.5421,629,23,1,1,21,0,0,2,0,0,0,0,2026-08-16T18-14-55-971-21de57e9.json,claude-cli,0,0,0
2026-08-16T18:25:25.399Z,fanin-orth-digest,fanin-orth,delivered,0.7503,774,23,1,1,21,0,0,0,0,0,0,0,2026-08-16T18-25-26-039-d1f176c9.json,claude-cli,0,0,0
2026-08-16T19:02:00.526Z,fanin-orth-catalog,fanin-orth,delivered,0.5196,442,20,1,1,18,0,0,0,0,0,0,0,2026-08-16T19-02-01-052-4ac95963.json,claude-cli,0,0,0
2026-08-16T19:09:23.386Z,fanin-orth-digest,fanin-orth,failed,0.2258,902,13,1,0,12,0,0,0,0,0,0,0,2026-08-16T19-09-24-133-949307ab.json,claude-cli,0,0,0
2026-08-16T22:23:41.893Z,fanin-logsum,fanin,delivered,0.4294,181,13,1,0,12,0,0,0,0,0,0,0,2026-08-16T22-23-42-443-723d2615.json,claude-cli,0,0,0
2026-08-16T22:26:43.269Z,fanin-csvreport,fanin,delivered,0.3792,175,14,1,0,13,0,0,0,0,0,0,0,2026-08-16T22-26-43-886-3269e493.json,claude-cli,0,0,0
2026-08-16T22:29:39.384Z,fanin-mdtoc,fanin,delivered,0.289,154,14,1,0,13,0,0,0,0,0,0,0,2026-08-16T22-29-39-897-a29f4c88.json,claude-cli,0,0,0
2026-08-16T22:32:14.300Z,fanin-taskapi,fanin,delivered,0.5734,248,19,1,3,15,0,0,2,0,0,0,0,2026-08-16T22-32-14-812-5453ae5c.json,claude-cli,0,1,0
2026-08-17T05:21:48.520Z,fanin-orth-digest,fanin-orth,delivered,1.1331,763,28,1,1,26,0,1,0,0,0,0,0,2026-08-17T05-21-49-091-c1219469.json,claude-cli,0,0,0
2026-08-17T05:38:59.131Z,fanin-orth-digest,fanin-orth,delivered,0.4774,245,31,1,1,29,0,0,0,0,0,0,0,2026-08-17T05-38-59-624-9b2f78dc.json,claude-cli,0,0,0
2026-08-17T05:44:23.254Z,fanin-orth-catalog,fanin-orth,delivered,0.5069,407,22,1,0,21,0,0,0,0,0,0,0,2026-08-17T05-44-23-777-198bcf28.json,claude-cli,0,0,0
2026-08-17T05:53:05.285Z,digest-rep1,fanin-rep,delivered,0.4235,312,30,1,1,28,0,0,0,0,0,0,0,2026-08-17T05-53-05-809-b99a705f.json,claude-cli,0,0,0
2026-08-17T05:58:17.743Z,digest-rep2,fanin-rep,delivered,0.3656,370,26,1,1,24,0,0,0,0,0,0,0,2026-08-17T05-58-18-376-6f0c564a.json,claude-cli,0,1,0
2026-08-17T06:04:27.950Z,digest-rep3,fanin-rep,delivered,0.458,277,30,1,1,28,0,0,0,0,0,0,0,2026-08-17T06-04-28-552-5c841b6e.json,claude-cli,0,0,0
